url,name,price,rating,number_of_reviews
/OPTIMA-Backpack-Resistant-Business-Lightweight/dp/B0C4GRTJSC/,"OPTIMA Slim Laptop Backpack,Vintage Tear Resistant Business Bag for Travel,College,School,Casual Daypacks for Man,Women,Fits up to 15.6Inch MacBook,Lightweight",419,3.9,2767
/Nivia-6853BKGR-Polyester-Black-Grey/dp/B07NLB6FRS/,NIVIA Basic Duffle Polyester Bag/Gym Bags/Adjustable Shoulder Bag for Men/Duffle Gym Bags for Men/Fitness Bag/Carry Bags/Sports & Travel Bag/Sports Kit/Duffle Bags Travel,270,4.0,4173
/Half-Moon-Backpack-Compartment-Reflective/dp/B0BLLJPBYM/,"Half Moon Large 35 L Laptop College School & Travel Bag Backpack for Men Women Boys and Girls Spacy Luggage Bags with 17.3 inches Laptop Compartment, Reflective Strip & Rain Cover",689,3.5,41
/Gear-Classic-Casual-Backpack-BKPCAMPS80304/dp/B019FBEJCO/,Gear Campus8 25L Medium Water Resistant School Bag/Casual Backpack/Daypack/College Bag/for Men/Women - Green Grey,595,4.1,1290
/HOEXL-Expandable-Premium-Backpack-College-Tech/dp/B0C3J2RLHP/,"HOEXL 42L Expandable Premium Laptop Backpack for Men/Women for Travel, School, College-Tech Bag with USB - Bagpacker Bag, 17 inch Laptop Bag with Water-resistant, Smart Bag with Multiple Compartments","2,899",4.8,81
/Genie-Moonlight-compartments-Lightweight-Travelling/dp/B097PGGTNJ/,"Genie Moonlight Laptop Backpack for Women, 3 compartments, Water Resistant and Lightweight Bags for Office and Travelling Purpose. 36 litres. (19 inch) Black colour",899,4.5,17
/BennettTM-Mystic-Shoulder-Messenger-Repellent/dp/B09321GJXZ/,Bennett™ Mystic 15.6 inch (39.6cm) Laptop Briefcase Shoulder Sling Office Business Professional Travel Messenger Bag for Men and Women Water Repellent Formal Executive Bags (Grey) 6 Months Warranty,452.,4.0,6870
/Half-Moon-Messenger-Multi-Pocket-Adjustable/dp/B0C5CFCLLJ/,Half Moon Urban Explorer PU Leather Stylish Side Sling Cross Body Travel Office Business Messenger Bag with Multi-Pocket Zip Closure and Adjustable Straps For Men Women,269,3.3,37
/Dyazo-Resistant-Photographers-Compatible-Panasonic/dp/B0BWWD1QQQ/,Dyazo Water Resistant Camera Backpack with Extra Front Pocket Photographers Bag with Rain Cover Tripod Holder Compatible for Sony Nikon Canon Panasonic DSLR (Black & Orange),698,4.2,729
/American-Tourister-Liftoff-Polypropylene-Suitcase/dp/B0C4PSWHRY/,American Tourister Liftoff 55 cms Small Cabin Polypropylene Hard Sided Double Spinner Wheel Luggage/Trolley Bag/Suitcase- Apple Green,"3,299",4.3,42
/Gear-Classic-Leather-Backpack-LBPCLSLTH0101/dp/B07G4D13LB/,Gear Classic 20L Small Faux Leather Water Resistant Anti Theft Laptop Bag/Office Backpack for Men/Women-Black,799,4.4,2791
/Zebronics-Techshield-Compartment-15-6-inch-Polyester/dp/B0C6QTMYFG/,"Zebronics Techshield A1, 18 Liters, 1 Compartment Laptop Backpack and Front Pocket, fit Up to 15.6-inch Laptop, Polyester Fabric, Office Use and Mini Business Travel Bags (Black)",498,3.6,11
/ADISA-Women-Girls-Flower-Crossbody/dp/B0BCZSKZLC/,ADISA Women Girls Flower Print Sling Bag Round Crossbody Purse,389,4.0,346
/Skybags-Trooper-Polycarbonate-Hardsided-Luggage/dp/B09JYT5KDW/,Skybags Trooper 55 Cms Small Cabin Polycarbonate Hard Sided 4 Spinner Wheels Luggage/Suitcase/Trolley Bag- Red and White,"2,699",4.2,19888
/Half-Moon-Resistant-Backpack-Compartment/dp/B0BYW5SH4L/,Half Moon Vision Water Resistant 15.6 inch Laptop Bag for Men/Backpack for Men | Office Bag for Men/Office Bag for Women with Padded Laptop Compartment,459,4.3,17
/Genie-Moonlight-compartments-Lightweight-Travelling/dp/B097PGGTNJ/,"Genie Moonlight Laptop Backpack for Women, 3 compartments, Water Resistant and Lightweight Bags for Office and Travelling Purpose. 36 litres. (19 inch) Black colour",899,4.5,17
/Stylbase-Iron-man-Polyester-Character-Embossed/dp/B0BNKZJ5W6/,"Stylbase 15 inches Kids 3D Cartoon Backpack - Lightweight, Waterproof, Adjustable Shoulder Straps, 3 Compartments, Bottle Holder - Perfect for School and Outdoor Adventures",469,4.0,212
/Safari-Polycarbonate-Hardside-Trolley-Suitcase/dp/B097JKR13B/,Safari Ray 53 cms Small Size Cabin Polycarbonate Hardside Trolley Luggage/Suitcase/Trolley Bag (Wine Red),"1,799",4.5,13
