url,name,price,rating,number_of_reviews,description,product_description,asin,manufacturer
/TRUE-HUMAN-EMPEROR%C2%AEMulti-purpose-backpack-charging/dp/B0CCLKZ21R/,"TRUE HUMAN EMPEROR®Multi-purpose backpack With USB charging Port Laptop,office,college,travel bag for men and women (WIZ)",499,3.9,7,"Buy Half Moon Large 35L Water Resistant 17.3"" Laptop Backpack for Men, Light Blue | Office Bag for Women with Padded Laptop Compartment | Spacious & Multiple Pockets from Laptop Backpacks at Amazon.in. 30 days free exchange or return","This backpack is lightweight water-resistant, capacity of approx 37 Ltr, has a soft and ventilated back panel, and is perfect for carrying all your necessities. Adjustable and breathable padded shoulder strap to meet different requirements for both men and women; made from highly rip and water-resistant polyester fabric, provide strengthen and long-lasting performance; roomy enough for your traveling requirements also having a Rain cover.",B0CCLKZ21R, Amazing Bags
/Arctic-Fox-Backpack-Charging-Laptop/dp/B089QBD333/,Arctic Fox Slope Anti Theft 23 L Backpack with USB Charging Port 15 Inch Laptop Backpack (Marble Black),1299,4.5,4528,"Buy Half Moon Large 35L Water Resistant 17.3"" Laptop Backpack for Men, Light Blue | Office Bag for Women with Padded Laptop Compartment | Spacious & Multiple Pockets from Laptop Backpacks at Amazon.in. 30 days free exchange or return","This backpack is lightweight water-resistant, capacity of approx 37 Ltr, has a soft and ventilated back panel, and is perfect for carrying all your necessities. Adjustable and breathable padded shoulder strap to meet different requirements for both men and women; made from highly rip and water-resistant polyester fabric, provide strengthen and long-lasting performance; roomy enough for your traveling requirements also having a Rain cover.",B089QBD333, Amazing Bags
/TRUE-Emperor-Anti-Theft-backpack-charging/dp/B0BYB631NR/,"TRUE HUMAN® Emperor Anti-Theft Pocket backpack With USB charging Port Laptop,office,college,travel bag for men and women(Epower)",499,3.7,461,"Buy Half Moon Large 35L Water Resistant 17.3"" Laptop Backpack for Men, Light Blue | Office Bag for Women with Padded Laptop Compartment | Spacious & Multiple Pockets from Laptop Backpacks at Amazon.in. 30 days free exchange or return","This backpack is lightweight water-resistant, capacity of approx 37 Ltr, has a soft and ventilated back panel, and is perfect for carrying all your necessities. Adjustable and breathable padded shoulder strap to meet different requirements for both men and women; made from highly rip and water-resistant polyester fabric, provide strengthen and long-lasting performance; roomy enough for your traveling requirements also having a Rain cover.",B0BYB631NR, Amazing Bags
/POLE-STAR-Polyester-Backpack-Compartment/dp/B07D6NXR2Q/,"POLESTAR Amaze 15.6 inch 30 LTR Casual Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Backpack, Water Resistant and Light Weight, 1 year Warranty",549,4.0,6169,"Buy Half Moon Large 35L Water Resistant 17.3"" Laptop Backpack for Men, Light Blue | Office Bag for Women with Padded Laptop Compartment | Spacious & Multiple Pockets from Laptop Backpacks at Amazon.in. 30 days free exchange or return","This backpack is lightweight water-resistant, capacity of approx 37 Ltr, has a soft and ventilated back panel, and is perfect for carrying all your necessities. Adjustable and breathable padded shoulder strap to meet different requirements for both men and women; made from highly rip and water-resistant polyester fabric, provide strengthen and long-lasting performance; roomy enough for your traveling requirements also having a Rain cover.",B07D6NXR2Q, Amazing Bags
/Half-Moon-College-Spacious-Multiple/dp/B0C23Z9W18/,Half Moon Aztec 37L School Bag Class 5-12 | College Bagpack for Men/College Back pack for Women | 15.6 inch Laptop Bag for Men/Backpack for Men | Spacious & Multiple Pockets,529,3.5,353,"Buy Half Moon Large 35L Water Resistant 17.3"" Laptop Backpack for Men, Light Blue | Office Bag for Women with Padded Laptop Compartment | Spacious & Multiple Pockets from Laptop Backpacks at Amazon.in. 30 days free exchange or return","This backpack is lightweight water-resistant, capacity of approx 37 Ltr, has a soft and ventilated back panel, and is perfect for carrying all your necessities. Adjustable and breathable padded shoulder strap to meet different requirements for both men and women; made from highly rip and water-resistant polyester fabric, provide strengthen and long-lasting performance; roomy enough for your traveling requirements also having a Rain cover.",B0C23Z9W18, Amazing Bags
/Impulse-Diggy-Backpack-Business-Resistant/dp/B0CJHV6RTS/,Impulse Diggy 35L Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack Water Resistant Fits Up to 16 Inch Laptop with 1 Year Warranty,399,4.1,21,"Buy Half Moon Large 35L Water Resistant 17.3"" Laptop Backpack for Men, Light Blue | Office Bag for Women with Padded Laptop Compartment | Spacious & Multiple Pockets from Laptop Backpacks at Amazon.in. 30 days free exchange or return","This backpack is lightweight water-resistant, capacity of approx 37 Ltr, has a soft and ventilated back panel, and is perfect for carrying all your necessities. Adjustable and breathable padded shoulder strap to meet different requirements for both men and women; made from highly rip and water-resistant polyester fabric, provide strengthen and long-lasting performance; roomy enough for your traveling requirements also having a Rain cover.",B0CJHV6RTS, Amazing Bags
/American-Tourister-BACKPACK-COMPARTMENT-ORGANIZER/dp/B0BTD4FK9G/,American Tourister Valex 28 Ltrs Large Laptop Backpack with Bottle Pocket and Front Organizer- Blue,999,4.2,921,"Buy Half Moon Large 35L Water Resistant 17.3"" Laptop Backpack for Men, Light Blue | Office Bag for Women with Padded Laptop Compartment | Spacious & Multiple Pockets from Laptop Backpacks at Amazon.in. 30 days free exchange or return","This backpack is lightweight water-resistant, capacity of approx 37 Ltr, has a soft and ventilated back panel, and is perfect for carrying all your necessities. Adjustable and breathable padded shoulder strap to meet different requirements for both men and women; made from highly rip and water-resistant polyester fabric, provide strengthen and long-lasting performance; roomy enough for your traveling requirements also having a Rain cover.",B0BTD4FK9G, Amazing Bags
/ADISA-Casual-Backpack-College-BP046-NAV_Navy/dp/B0BX3QFVSM/,ADISA 31 Ltrs Casual Backpack School College Bag Pack,349,3.9,351,"Buy Half Moon Large 35L Water Resistant 17.3"" Laptop Backpack for Men, Light Blue | Office Bag for Women with Padded Laptop Compartment | Spacious & Multiple Pockets from Laptop Backpacks at Amazon.in. 30 days free exchange or return","This backpack is lightweight water-resistant, capacity of approx 37 Ltr, has a soft and ventilated back panel, and is perfect for carrying all your necessities. Adjustable and breathable padded shoulder strap to meet different requirements for both men and women; made from highly rip and water-resistant polyester fabric, provide strengthen and long-lasting performance; roomy enough for your traveling requirements also having a Rain cover.",B0BX3QFVSM, Amazing Bags
/NORTH-ZONE-Restant-Office-Backpack/dp/B0CJ38KTFS/,NORTH ZONE 30L Water Restant Office Laptop Bag/Backpack for Men/Women/(Black),449,4.6,3,"Buy Half Moon Large 35L Water Resistant 17.3"" Laptop Backpack for Men, Light Blue | Office Bag for Women with Padded Laptop Compartment | Spacious & Multiple Pockets from Laptop Backpacks at Amazon.in. 30 days free exchange or return","This backpack is lightweight water-resistant, capacity of approx 37 Ltr, has a soft and ventilated back panel, and is perfect for carrying all your necessities. Adjustable and breathable padded shoulder strap to meet different requirements for both men and women; made from highly rip and water-resistant polyester fabric, provide strengthen and long-lasting performance; roomy enough for your traveling requirements also having a Rain cover.",B0CJ38KTFS, Amazing Bags
/LOOKMUSTER-Waterproof-Backpack-College-Business/dp/B0BZW8KW18/,LOOKMUSTER (15.6 inch 30 L Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Travel Backpack,429,3.5,144,"Buy Half Moon Large 35L Water Resistant 17.3"" Laptop Backpack for Men, Light Blue | Office Bag for Women with Padded Laptop Compartment | Spacious & Multiple Pockets from Laptop Backpacks at Amazon.in. 30 days free exchange or return","This backpack is lightweight water-resistant, capacity of approx 37 Ltr, has a soft and ventilated back panel, and is perfect for carrying all your necessities. Adjustable and breathable padded shoulder strap to meet different requirements for both men and women; made from highly rip and water-resistant polyester fabric, provide strengthen and long-lasting performance; roomy enough for your traveling requirements also having a Rain cover.",B0BZW8KW18, Amazing Bags
